Fecha,Concepto,Cargos
2015-07-16,ANTERIOR FATURA SERVICIOS,6670.0
2015-07-16,ANTERIOR FATURA SERVICIOS,1206.4
2015-07-16,ANTERIOR FATURA SERVICIOS,8420.44
2015-07-16,ANTERIOR FATURA SERVICIOS,703.68
2015-07-16,ANTERIOR FATURA SERVICIOS,2575.2
2015-07-16,ANTERIOR FATURA SERVICIOS,27888.72
2015-07-16,ANTERIOR FATURA SERVICIOS,2871.0
2015-07-16,ANTERIOR FATURA SERVICIOS,2099.99
2015-07-16,ANTERIOR FATURA SERVICIOS,1518.44
2015-07-16,ANTERIOR FATURA SERVICIOS,1044.0
2015-07-16,ANTERIOR FATURA SERVICIOS,5220.0
2015-07-16,ANTERIOR FATURA SERVICIOS,1176.0
2015-07-16,ANTERIOR FATURA SERVICIOS,2668.0
2015-07-16,ANTERIOR FATURA SERVICIOS,4002.0
2015-07-16,ANTERIOR FATURA SERVICIOS,30582.24
2015-07-16,ANTERIOR FATURA SERVICIOS,2853.6
2015-07-16,ANTERIOR FATURA SERVICIOS,15924.48
2015-07-16,ANTERIOR FATURA SERVICIOS,18946.28
2015-07-16,ANTERIOR FATURA SERVICIOS,2320.0
2015-07-16,ANTERIOR FATURA SERVICIOS,5220.0
2015-07-16,ANTERIOR FATURA SERVICIOS,556.8
2015-07-22,ANTERIOR FATURA SERVICIOS,3016.0
2015-07-22,ANTERIOR FATURA SERVICIOS,2544.58
2015-07-23,ANTERIOR FATURA SERVICIOS,1438.4
2015-07-23,ANTERIOR FATURA SERVICIOS,1519.6
2015-07-23,ANTERIOR FATURA SERVICIOS,7192.0
2015-07-23,ANTERIOR FATURA SERVICIOS,2876.8
2015-07-23,ANTERIOR FATURA SERVICIOS,1484.8
2015-07-24,ANTERIOR FATURA SERVICIOS,1751.6
2015-07-24,ANTERIOR FATURA SERVICIOS,2610.0
2015-07-24,ANTERIOR FATURA SERVICIOS,1044.0
2015-07-24,ANTERIOR FATURA SERVICIOS,15924.48
2015-07-24,ANTERIOR FATURA SERVICIOS,1102.0
2015-07-27,ANTERIOR FATURA SERVICIOS,26080.27
