Fecha,Concepto,Cargos
04/01/16,ANTERIOR FATURA SERVICIOS,498.8
04/01/16,ANTERIOR FATURA SERVICIOS,541.72
04/01/16,ANTERIOR FATURA SERVICIOS,17748
07/01/16,ANTERIOR FATURA SERVICIOS,4048.4
07/01/16,ANTERIOR FATURA SERVICIOS,21518
07/01/16,ANTERIOR FATURA SERVICIOS,3967.2
07/01/16,ANTERIOR FATURA SERVICIOS,1798
07/01/16,ANTERIOR FATURA SERVICIOS,7424
07/01/16,ANTERIOR FATURA SERVICIOS,8212.8
07/01/16,ANTERIOR FATURA SERVICIOS,348
07/01/16,ANTERIOR FATURA SERVICIOS,1988.61
07/01/16,ANTERIOR FATURA SERVICIOS,631.98
07/01/16,ANTERIOR FATURA SERVICIOS,2934.8
07/01/16,ANTERIOR FATURA SERVICIOS,2262
07/01/16,ANTERIOR FATURA SERVICIOS,5367.63
07/01/16,ANTERIOR FATURA SERVICIOS,4099.44
07/01/16,ANTERIOR FATURA SERVICIOS,3074
08/01/16,ANTERIOR FATURA SERVICIOS,435
08/01/16,ANTERIOR FATURA SERVICIOS,139.2
08/01/16,ANTERIOR FATURA SERVICIOS,168374
08/01/16,ANTERIOR FATURA SERVICIOS,278.4
08/01/16,ANTERIOR FATURA SERVICIOS,663.52
08/01/16,ANTERIOR FATURA SERVICIOS,256.36
08/01/16,ANTERIOR FATURA SERVICIOS,2540.4
08/01/16,ANTERIOR FATURA SERVICIOS,3688.8
08/01/16,ANTERIOR FATURA SERVICIOS,3538
08/01/16,ANTERIOR FATURA SERVICIOS,1600.8
08/01/16,ANTERIOR FATURA SERVICIOS,348
08/01/16,ANTERIOR FATURA SERVICIOS,844.48
08/01/16,ANTERIOR FATURA SERVICIOS,19604
08/01/16,ANTERIOR FATURA SERVICIOS,3398.8
11/01/16,ANTERIOR FATURA SERVICIOS,915.99
11/01/16,ANTERIOR FACTURA VENTAS,4353.48
11/01/16,ANTERIOR FACTURA VENTAS,116
11/01/16,ANTERIOR FACTURA VENTAS,904.8
11/01/16,ANTERIOR FACTURA VENTAS,26506
11/01/16,ANTERIOR FATURA SERVICIOS,3306
12/01/16,ANTERIOR FATURA SERVICIOS,3155.2
12/01/16,ANTERIOR FATURA SERVICIOS,2238.8
