Fecha,Cargos
2015-07-19,144467.27
2015-07-26,42504.26
2015-08-02,228340.94999999998
2015-08-09,390500.09
2015-08-16,96766.53
2015-08-23,1114805.23
2015-08-30,279821.28
2015-09-06,144066.53
2015-09-13,371047.01
2015-09-20,189080.77000000002
2015-09-27,366840.55
2015-10-04,170869.35
2015-10-11,758639.09
2015-10-18,547712.23
2015-10-25,328332.31
2015-11-01,156421.06
2015-11-08,138389.93
2015-11-15,410737.92
2015-11-22,289114.83999999997
2015-11-29,769498.2699999999
2015-12-06,366674.33999999997
2015-12-13,261546.6
2015-12-20,579330.08
2015-12-27,40349.76
2016-01-03,16833.78
2016-01-10,292173.14
2016-01-17,222895.02000000002
2016-01-24,270729.82
2016-01-31,370713.99
2016-02-07,199406.24
2016-02-14,315077.2
2016-02-21,787406.76
2016-02-28,321988.72
2016-03-06,475172.21
2016-03-13,151867.24
2016-03-20,129561.87000000001
2016-03-27,70217.05
2016-04-03,192335.5
2016-04-10,279389.89
2016-04-17,166806.62000000002
2016-04-24,463229.47000000003
2016-05-01,110498.95999999999
2016-05-08,447795.44
2016-05-15,77039.35
2016-05-22,205377.73
2016-05-29,222277.88
2016-06-05,96496.67
2016-06-12,231653.67
2016-06-19,218635.96
2016-06-26,149766.54
2016-07-03,529313.14
2016-07-10,433000.99
2016-07-17,180087.15
2016-07-24,91564.20999999999
2016-07-31,165904.15999999997
2016-08-07,106382.74
2016-08-14,202740.75
2016-08-21,206319.05
2016-08-28,564904.77
2016-09-04,40538.58
2016-09-11,142432.28
2016-09-18,56721.14
2016-09-25,398670.13
2016-10-02,700003.85
2016-10-09,122228.31999999999
2016-10-16,156871.40000000002
2016-10-23,89319.44
2016-10-30,208529.5
2016-11-06,87826.29
2016-11-13,239094.34
2016-11-20,115507.23000000001
2016-11-27,274190.05000000005
2016-12-04,84617.57
2016-12-11,509226.77
2016-12-18,101596.32
2016-12-25,280851.44
2017-01-01,221317.55000000002
2017-01-08,79451.11
2017-01-15,214468.66999999998
2017-01-22,551601.37
2017-01-29,253029.26
2017-02-05,228621.86
2017-02-12,225171.77000000002
2017-02-19,397589.48
2017-02-26,247337.11
2017-03-05,253336.52
2017-03-12,487493.58999999997
2017-03-19,69688.93
2017-03-26,266971.49
2017-04-02,233908.56999999998
2017-04-09,457635.41000000003
2017-04-16,212271.12000000002
2017-04-23,324507.60000000003
2017-04-30,526827.82
2017-05-07,552958.63
2017-05-14,370032.36000000004
2017-05-21,161054.56
2017-05-28,284540.91
2017-06-04,213494.65000000002
2017-06-11,259119.2
2017-06-18,789320.6799999999
2017-06-25,97951.72
2017-07-02,186843.02000000002
2017-07-09,662210.87
2017-07-16,199577.43
2017-07-23,94555.99
2017-07-30,111378.43
2017-08-06,290502.12
2017-08-13,257262.15999999997
2017-08-20,201426.27
2017-08-27,595191.62
2017-09-03,85080.16
2017-09-10,322163.76
2017-09-17,77780.42
2017-09-24,50330.66
2017-10-01,331632.42
2017-10-08,290905.2
2017-10-15,428842.07
2017-10-22,110595.83
2017-10-29,385130.23000000004
2017-11-05,53579.19
2017-11-12,597149.01
2017-11-19,110770.41
2017-11-26,228619.97000000003
2017-12-03,339256.57
2017-12-10,60666.82
2017-12-17,631357.78
2017-12-24,578416.0
2017-12-31,903359.3400000001
2018-01-07,0.0
2018-01-14,3504.36
2018-01-21,806651.3200000001
2018-01-28,181413.26
2018-02-04,186895.15000000002
2018-02-11,45941.0
2018-02-18,437905.91000000003
2018-02-25,460560.67999999993
2018-03-04,818092.8300000001
2018-03-11,266459.13
2018-03-18,197877.94999999998
2018-03-25,110289.06
2018-04-01,312880.6
2018-04-08,269409.04
2018-04-15,569812.52
2018-04-22,60111.26
2018-04-29,302594.88
2018-05-06,458809.05
2018-05-13,604228.2
2018-05-20,155080.77
2018-05-27,676776.68
2018-06-03,1606727.31
2018-06-10,434031.4
2018-06-17,627933.27
2018-06-24,476591.61
2018-07-01,528454.5800000001
2018-07-08,0.0
2018-07-15,233971.19
2018-07-22,460169.56999999995
2018-07-29,252048.07
2018-08-05,674255.75
2018-08-12,588582.46
2018-08-19,0.0
2018-08-26,40836.57
2018-09-02,427751.48
2018-09-09,16047.48
2018-09-16,277397.17
2018-09-23,287981.91
2018-09-30,1145304.25
2018-10-07,0.0
2018-10-14,318413.92
2018-10-21,450994.58
2018-10-28,569900.96
2018-11-04,694588.04
2018-11-11,449458.83999999997
2018-11-18,515197.88
2018-11-25,171978.06
2018-12-02,499579.19
2018-12-09,25515.54
2018-12-16,122687.4
2018-12-23,227512.78
2018-12-30,415548.19
2019-01-06,0.0
2019-01-13,1433745.0399999998
2019-01-20,1103266.81
2019-01-27,15903.6
2019-02-03,48721.99
2019-02-10,591228.76
2019-02-17,332871.29
2019-02-24,164239.72999999998
2019-03-03,179046.46000000002
2019-03-10,650413.09
2019-03-17,66238.69
2019-03-24,32948.73
2019-03-31,191535.71
2019-04-07,459966.10000000003
2019-04-14,201039.06
2019-04-21,21253.61
2019-04-28,103820.16
2019-05-05,50018.5
2019-05-12,404484.66000000003
2019-05-19,150580.33000000002
2019-05-26,211566.65999999997
2019-06-02,135565.28
2019-06-09,374942.51
2019-06-16,87060.08
2019-06-23,99241.34
2019-06-30,136774.41
2019-07-07,125650.29000000001
2019-07-14,99872.9
2019-07-21,99279.95000000001
2019-07-28,390081.16
2019-08-04,122027.72
2019-08-11,66546.51
2019-08-18,155372.97999999998
2019-08-25,187193.34999999998
2019-09-01,50579.619999999995
2019-09-08,526647.86
2019-09-15,80976.38
2019-09-22,260666.83000000002
2019-09-29,227233.46999999997
2019-10-06,491597.37000000005
2019-10-13,47053.31
2019-10-20,44118.57000000001
2019-10-27,557254.97
2019-11-03,340655.94
2019-11-10,29489.93
2019-11-17,104612.25
2019-11-24,187523.93
2019-12-01,781239.89
2019-12-08,116247.03
2019-12-15,61818.94
2019-12-22,417043.88
2019-12-29,25386.34
2020-01-05,307805.44
2020-01-12,678577.6000000001
2020-01-19,417385.38
2020-01-26,115846.17
2020-02-02,271633.71
2020-02-09,99047.5
2020-02-16,198684.96
2020-02-23,582208.61
2020-03-01,409221.83999999997
2020-03-08,58502.5
2020-03-15,455769.44
2020-03-22,169108.03999999998
2020-03-29,161262.42
2020-04-05,773640.7299999999
2020-04-12,13521.25
2020-04-19,83565.84
2020-04-26,859908.97
2020-05-03,4347.68
2020-05-10,58696.46
2020-05-17,117575.1
2020-05-24,95416.97
2020-05-31,42487.4
2020-06-07,90784.78
2020-06-14,167449.22
2020-06-21,229192.8
2020-06-28,41055.22
2020-07-05,242972.65
2020-07-12,206182.83999999997
2020-07-19,523754.53
2020-07-26,67942.2
2020-08-02,111677.85
2020-08-09,83023.37000000001
2020-08-16,187222.44
2020-08-23,756679.6599999999
2020-08-30,88479.64
2020-09-06,66137.65
2020-09-13,61337.86
2020-09-20,335955.02
2020-09-27,247809.34
2020-10-04,373530.25
2020-10-11,79401.97
2020-10-18,278222.83
2020-10-25,531135.68
2020-11-01,676625.16
2020-11-08,275206.04
2020-11-15,341138.56
2020-11-22,652341.26
2020-11-29,506558.66000000003
2020-12-06,357820.06999999995
2020-12-13,0.0
2020-12-20,210677.19
2020-12-27,74281.06
2021-01-03,27712.739999999998
