Fecha,Concepto,Cargos
16/07/15,ANTERIOR FATURA SERVICIOS,"$6,670.00"
16/07/15,ANTERIOR FATURA SERVICIOS,"$5,220.00"
16/07/15,ANTERIOR FATURA SERVICIOS,"$5,220.00"
16/07/15,ANTERIOR FATURA SERVICIOS,"$2,320.00"
16/07/15,ANTERIOR FATURA SERVICIOS,"$18,946.28"
16/07/15,ANTERIOR FATURA SERVICIOS,"$15,924.48"
16/07/15,ANTERIOR FATURA SERVICIOS,"$2,853.60"
16/07/15,ANTERIOR FATURA SERVICIOS,"$30,582.24"
16/07/15,ANTERIOR FATURA SERVICIOS,"$4,002.00"
16/07/15,ANTERIOR FATURA SERVICIOS,"$2,668.00"
16/07/15,ANTERIOR FATURA SERVICIOS,"$1,176.00"
16/07/15,ANTERIOR FATURA SERVICIOS,$556.80
16/07/15,ANTERIOR FATURA SERVICIOS,"$1,044.00"
16/07/15,ANTERIOR FATURA SERVICIOS,"$1,518.44"
16/07/15,ANTERIOR FATURA SERVICIOS,"$2,099.99"
16/07/15,ANTERIOR FATURA SERVICIOS,"$2,871.00"
16/07/15,ANTERIOR FATURA SERVICIOS,"$27,888.72"
16/07/15,ANTERIOR FATURA SERVICIOS,"$2,575.20"
16/07/15,ANTERIOR FATURA SERVICIOS,$703.68
16/07/15,ANTERIOR FATURA SERVICIOS,"$8,420.44"
16/07/15,ANTERIOR FATURA SERVICIOS,"$1,206.40"
22/07/15,ANTERIOR FATURA SERVICIOS,"$3,016.00"
22/07/15,ANTERIOR FATURA SERVICIOS,"$2,544.58"
23/07/15,ANTERIOR FATURA SERVICIOS,"$2,876.80"
23/07/15,ANTERIOR FATURA SERVICIOS,"$7,192.00"
23/07/15,ANTERIOR FATURA SERVICIOS,"$1,484.80"
23/07/15,ANTERIOR FATURA SERVICIOS,"$1,438.40"
23/07/15,ANTERIOR FATURA SERVICIOS,"$1,519.60"
24/07/15,ANTERIOR FATURA SERVICIOS,"$1,751.60"
24/07/15,ANTERIOR FATURA SERVICIOS,"$2,610.00"
24/07/15,ANTERIOR FATURA SERVICIOS,"$1,044.00"
24/07/15,ANTERIOR FATURA SERVICIOS,"$15,924.48"
24/07/15,ANTERIOR FATURA SERVICIOS,"$1,102.00"
27/07/15,ANTERIOR FATURA SERVICIOS,"$90,016.00"
27/07/15,ANTERIOR FATURA SERVICIOS,"$1,641.40"
27/07/15,ANTERIOR FATURA SERVICIOS,"$15,590.40"
27/07/15,ANTERIOR FATURA SERVICIOS,"$12,910.80"
27/07/15,ANTERIOR FATURA SERVICIOS,"$26,080.27"
28/07/15,ANTERIOR FATURA SERVICIOS,"$1,821.20"
28/07/15,ANTERIOR FATURA SERVICIOS,"$4,964.80"
28/07/15,ANTERIOR FATURA SERVICIOS,"$2,726.00"
28/07/15,ANTERIOR FATURA SERVICIOS,"$6,350.62"
28/07/15,ANTERIOR FATURA SERVICIOS,"$7,099.20"
28/07/15,ANTERIOR FATURA SERVICIOS,"$1,345.60"
28/07/15,ANTERIOR FATURA SERVICIOS,"$2,156.44"
28/07/15,ANTERIOR FATURA SERVICIOS,"$14,442.00"
28/07/15,ANTERIOR FATURA SERVICIOS,"$5,220.00"
28/07/15,ANTERIOR FATURA SERVICIOS,"$1,458.12"
28/07/15,ANTERIOR FATURA SERVICIOS,"$2,291.00"
29/07/15,ANTERIOR FATURA SERVICIOS,"$2,000.00"
29/07/15,ANTERIOR FATURA SERVICIOS,"$1,977.80"
31/07/15,ANTERIOR FATURA SERVICIOS,"$1,113.60"
31/07/15,ANTERIOR FATURA SERVICIOS,"$1,508.00"
