Region,State,Order Date,Order_Year,Order_Month,Order_Day,Customer Segment,Product Category,Sales
East,Pennsylvania,2012-01-01,2012,1,1,Small Business,Office Supplies,180.36
East,Maryland,2012-01-01,2012,1,1,Home Office,Office Supplies,872.48
West,California,2012-01-02,2012,1,2,Corporate,Furniture,1239.06
West,California,2012-01-02,2012,1,2,Consumer,Office Supplies,614.8
West,California,2012-01-02,2012,1,2,Corporate,Furniture,4083.19
West,California,2012-01-02,2012,1,2,Consumer,Office Supplies,137.63
Central,Minnesota,2012-01-02,2012,1,2,Consumer,Office Supplies,124.81
West,California,2012-01-02,2012,1,2,Corporate,Office Supplies,4902.38
South,Alabama,2012-01-03,2012,1,3,Home Office,Furniture,698.0
West,Utah,2012-01-03,2012,1,3,Home Office,Furniture,262.76
South,Alabama,2012-01-03,2012,1,3,Home Office,Office Supplies,172.51
West,Oregon,2012-01-03,2012,1,3,Home Office,Office Supplies,122.23
Central,Nebraska,2012-01-03,2012,1,3,Corporate,Office Supplies,85.56
West,Utah,2012-01-03,2012,1,3,Corporate,Technology,896.49
South,Louisiana,2012-01-03,2012,1,3,Corporate,Technology,522.49
Central,Nebraska,2012-01-03,2012,1,3,Corporate,Technology,754.6555
South,Louisiana,2012-01-03,2012,1,3,Corporate,Office Supplies,123.76
South,Louisiana,2012-01-03,2012,1,3,Corporate,Technology,28359.4
Central,Texas,2012-01-04,2012,1,4,Home Office,Furniture,1039.56
Central,Texas,2012-01-04,2012,1,4,Corporate,Office Supplies,63.34
Central,Texas,2012-01-04,2012,1,4,Corporate,Office Supplies,151.35
Central,Texas,2012-01-05,2012,1,5,Consumer,Furniture,12635.75
Central,Texas,2012-01-05,2012,1,5,Consumer,Technology,2750.107
Central,Iowa,2012-01-05,2012,1,5,Corporate,Furniture,1244.19
Central,Texas,2012-01-05,2012,1,5,Consumer,Furniture,240.3
Central,Texas,2012-01-05,2012,1,5,Consumer,Furniture,78.08
Central,Oklahoma,2012-01-05,2012,1,5,Small Business,Furniture,8958.46
South,Florida,2012-01-05,2012,1,5,Corporate,Office Supplies,257.41
East,New York,2012-01-05,2012,1,5,Home Office,Office Supplies,188.73
Central,Iowa,2012-01-05,2012,1,5,Consumer,Technology,165.75
Central,Texas,2012-01-05,2012,1,5,Consumer,Furniture,653.54
Central,Oklahoma,2012-01-05,2012,1,5,Small Business,Furniture,4201.08
South,Louisiana,2012-01-05,2012,1,5,Home Office,Office Supplies,725.43
Central,Illinois,2012-01-05,2012,1,5,Home Office,Technology,700.73
Central,Oklahoma,2012-01-05,2012,1,5,Small Business,Technology,4913.7
Central,Iowa,2012-01-05,2012,1,5,Consumer,Technology,2021.147
East,Connecticut,2012-01-06,2012,1,6,Small Business,Furniture,2357.45
Central,Illinois,2012-01-06,2012,1,6,Home Office,Furniture,26133.39
South,Virginia,2012-01-06,2012,1,6,Consumer,Office Supplies,37.06
South,South Carolina,2012-01-06,2012,1,6,Consumer,Technology,61.7185
South,Virginia,2012-01-06,2012,1,6,Consumer,Technology,46.86
South,South Carolina,2012-01-06,2012,1,6,Consumer,Furniture,3674.08
South,Florida,2012-01-06,2012,1,6,Consumer,Furniture,129.84
South,Florida,2012-01-06,2012,1,6,Consumer,Office Supplies,22.13
South,South Carolina,2012-01-06,2012,1,6,Consumer,Office Supplies,1413.89
South,Virginia,2012-01-06,2012,1,6,Consumer,Office Supplies,1089.59
South,Virginia,2012-01-06,2012,1,6,Corporate,Office Supplies,298.97
West,California,2012-01-06,2012,1,6,Home Office,Office Supplies,101.77
South,Virginia,2012-01-06,2012,1,6,Corporate,Office Supplies,159.05
West,Nevada,2012-01-07,2012,1,7,Consumer,Office Supplies,737.25
East,New York,2012-01-07,2012,1,7,Home Office,Office Supplies,10.58
East,New York,2012-01-07,2012,1,7,Home Office,Technology,2119.67
East,New York,2012-01-07,2012,1,7,Home Office,Technology,45923.76
Central,Oklahoma,2012-01-07,2012,1,7,Small Business,Technology,607.597
Central,Texas,2012-01-07,2012,1,7,Consumer,Office Supplies,610.65
Central,Texas,2012-01-07,2012,1,7,Consumer,Technology,158.04
West,California,2012-01-07,2012,1,7,Small Business,Technology,1961.7915
East,Maine,2012-01-07,2012,1,7,Corporate,Office Supplies,11.57
East,Ohio,2012-01-08,2012,1,8,Home Office,Furniture,75.77
East,Ohio,2012-01-08,2012,1,8,Home Office,Office Supplies,64.29
South,South Carolina,2012-01-08,2012,1,8,Home Office,Office Supplies,324.28
West,Washington,2012-01-08,2012,1,8,Corporate,Office Supplies,21752.01
West,California,2012-01-09,2012,1,9,Small Business,Office Supplies,145.19
Central,Oklahoma,2012-01-09,2012,1,9,Home Office,Office Supplies,45.87
West,California,2012-01-09,2012,1,9,Small Business,Office Supplies,68.5
West,California,2012-01-09,2012,1,9,Corporate,Office Supplies,541.45
East,New Jersey,2012-01-09,2012,1,9,Corporate,Office Supplies,121.87
